Category,Papers,Percent
Not specified,33,29.5
AnyLogic,32,28.6
Arena,15,13.4
Simio,8,7.1
Python,5,4.5
Vensim,3,2.7
MATLAB,2,1.8
NetLogo,2,1.8
SAS Simulation Studio,2,1.8
AnyLogistix,1,0.9
AutoSched,1,0.9
FlexSim,1,0.9
Java,1,0.9
PySP and Gurobi,1,0.9
Repast,1,0.9
SimChain,1,0.9
SimPy,1,0.9
Stella Architect,1,0.9
SuperDecisions,1,0.9
TOTAL,112,100.0
